ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
2,6-10 Years,10Y,M,MONMOUTH,BL,41
9,21+ Years,33Y,M,ESSEX,BL,56
10,3-5 Years,4Y,M,CUMBERLAND,BL,44
11,21+ Years,LIFE,M,CAMDEN,BL,44
12,21+ Years,25Y,M,ATLANTIC,WH,44
13,21+ Years,30Y,M,UNION,BL,57
14,6-10 Years,7Y,M,MORRIS,OA,55
15,6-10 Years,7Y,M,OCEAN,WH,33
16,21+ Years,40Y,M,MORRIS,WH,48
17,3-5 Years,3Y 6M,M,ESSEX,BL,21
18,1-2 Years,1Y 6M,M,ATLANTIC,BL,43
19,3-5 Years,5Y,M,GLOUCESTER,BL,52
20,3-5 Years,5Y,M,HUDSON,HS,23
21,21+ Years,LIFE,M,OCEAN,BL,40
22,6-10 Years,9Y,M,BERGEN,BL,44
23,21+ Years,25Y,M,CAMDEN,BL,44
24,6-10 Years,9Y,M,BERGEN,BL,41
25,21+ Years,LIFE,M,SALEM,BL,71
26,15-20 Years,20Y,M,ATLANTIC,HS,65
27,6-10 Years,10Y,M,MERCER,BL,25
28,3-5 Years,5Y,M,ESSEX,BL,41
29,21+ Years,LIFE,M,PASSAIC,BL,43
30,21+ Years,50Y,M,ESSEX,BL,42
31,6-10 Years,7Y,M,MONMOUTH,BL,22
32,6-10 Years,8Y,M,CAMDEN,BL,28
33,6-10 Years,10Y,M,UNION,HS,47
34,21+ Years,LIFE,M,BERGEN,BL,61
35,3-5 Years,5Y,M,MERCER,BL,45
36,3-5 Years,5Y,M,OCEAN,BL,29
37,6-10 Years,6Y,M,HUDSON,BL,33
38,3-5 Years,5Y,M,HUDSON,BL,33
39,21+ Years,28Y 7M 8D,M,MORRIS,BL,37
40,6-10 Years,10Y,M,MONMOUTH,WH,40
41,6-10 Years,10Y,M,MIDDLESEX,WH,39
42,6-10 Years,10Y,M,ATLANTIC,WH,32
43,3-5 Years,5Y,F,OCEAN,WH,30
44,6-10 Years,6Y,F,CAMDEN,WH,34
46,21+ Years,30Y,M,OCEAN,BL,41
48,15-20 Years,20Y,M,HUDSON,BL,40
50,21+ Years,LIFE,M,ATLANTIC,BL,44
51,3-5 Years,5Y,M,CAMDEN,BL,27
52,6-10 Years,7Y,M,CUMBERLAND,WH,57
53,6-10 Years,10Y,M,PASSAIC,HS,39
54,21+ Years,50Y,M,ESSEX,BL,52
55,21+ Years,57Y,M,UNION,WH,32
56,3-5 Years,4Y,M,BURLINGTON,WH,23
57,3-5 Years,5Y,M,CUMBERLAND,BL,40
58,6-10 Years,10Y,F,MIDDLESEX,WH,50
59,6-10 Years,6Y,F,CUMBERLAND,WH,30
60,11-14 Years,12Y 19D,M,UNION,BL,26
61,21+ Years,25Y,M,MIDDLESEX,BL,29
62,21+ Years,60Y,M,MIDDLESEX,BL,58
63,6-10 Years,10Y,M,UNION,BL,27
64,21+ Years,LIFE,M,CUMBERLAND,BL,45
65,15-20 Years,18Y,M,ESSEX,BL,26
66,21+ Years,34Y,M,ESSEX,HS,45
67,3-5 Years,5Y,M,MIDDLESEX,WH,51
68,3-5 Years,5Y,M,HUDSON,BL,25
69,21+ Years,LIFE,M,ESSEX,WH,61
70,6-10 Years,7Y,M,BURLINGTON,BL,47
71,6-10 Years,10Y,M,ESSEX,BL,25
72,11-14 Years,12Y,M,CAMDEN,BL,22
73,6-10 Years,8Y,M,MERCER,BL,26
74,1-2 Years,2Y 10M 14D,M,PASSAIC,WH,25
75,6-10 Years,10Y,M,ESSEX,HS,40
76,6-10 Years,10Y,M,CAPE MAY,WH,32
77,21+ Years,LIFE,M,ATLANTIC,BL,52
78,21+ Years,44Y,M,PASSAIC,BL,58
79,15-20 Years,20Y,M,HUDSON,BL,34
80,3-5 Years,5Y,M,CAMDEN,BL,31
81,21+ Years,60Y,F,ESSEX,BL,46
82,6-10 Years,10Y,M,SOMERSET,HS,36
83,6-10 Years,6Y,M,CUMBERLAND,WH,33
84,3-5 Years,5Y,M,MERCER,BL,40
85,11-14 Years,12Y,M,ESSEX,BL,57
86,3-5 Years,5Y,M,MIDDLESEX,BL,26
87,6-10 Years,10Y,M,UNION,WH,25
88,6-10 Years,7Y,M,MIDDLESEX,BL,27
89,15-20 Years,20Y,M,UNION,HB,44
90,1-2 Years,2Y 19D,M,ESSEX,BL,24
91,3-5 Years,5Y,M,CUMBERLAND,BL,43
92,21+ Years,30Y,M,UNION,HS,43
93,3-5 Years,3Y 6D,M,BURLINGTON,WH,30
94,3-5 Years,4Y,M,UNION,HS,20
95,3-5 Years,5Y,M,ATLANTIC,BL,33
96,3-5 Years,5Y,M,OCEAN,WH,34
97,15-20 Years,20Y,M,CAMDEN,BL,31
98,21+ Years,LIFE,M,PASSAIC,BL,44
99,3-5 Years,5Y,M,MERCER,BL,27
100,21+ Years,LIFE,M,ESSEX,BL,51
101,21+ Years,30Y,M,UNION,BL,54
102,6-10 Years,10Y 9M 20D,M,CAMDEN,WH,44
103,21+ Years,60Y,M,ESSEX,BL,43
104,6-10 Years,6Y 6M,M,MIDDLESEX,BL,23
105,21+ Years,LIFE1,M,ESSEX,BL,70
106,11-14 Years,13Y 6M,M,MERCER,BL,43
107,3-5 Years,3Y,M,HUDSON,BL,31
108,15-20 Years,20Y,M,CAMDEN,HS,44
109,21+ Years,LIFE,M,ESSEX,BL,71
110,3-5 Years,3Y 8M 22D,M,BURLINGTON,BL,33
111,21+ Years,34Y,M,CAMDEN,BL,36
112,11-14 Years,13Y,M,BURLINGTON,WH,26
113,6-10 Years,6Y,M,SUSSEX,WH,34
114,15-20 Years,20Y,M,BERGEN,HS,51
115,6-10 Years,7Y 11D,M,MERCER,BL,30
116,21+ Years,LIFE,M,ESSEX,BL,45
117,3-5 Years,5Y,F,MONMOUTH,BL,21
118,3-5 Years,5Y,M,MERCER,BL,38
119,6-10 Years,7Y,F,PASSAIC,BL,31
120,3-5 Years,5Y,M,MIDDLESEX,BL,20
121,15-20 Years,18Y,M,ESSEX,BL,44
122,21+ Years,30Y,M,ESSEX,BL,43
123,6-10 Years,8Y,M,BERGEN,WH,59
124,6-10 Years,6Y,M,ESSEX,HS,57
125,3-5 Years,4Y,M,MIDDLESEX,BL,42
126,11-14 Years,13Y,M,PASSAIC,BL,44
127,21+ Years,LIFE,M,UNION,BL,45
128,21+ Years,LIFE,M,CAMDEN,BL,45
129,21+ Years,45Y,M,CAMDEN,BL,45
130,3-5 Years,5Y,M,ATLANTIC,WH,25
131,21+ Years,30Y,M,BERGEN,WH,62
132,11-14 Years,13Y,M,PASSAIC,HS,38
133,6-10 Years,6Y,M,ESSEX,BL,24
134,3-5 Years,5Y,M,ESSEX,BL,57
135,3-5 Years,5Y,M,BERGEN,WH,60
136,3-5 Years,3Y,M,BURLINGTON,BL,23
137,6-10 Years,10Y,M,CUMBERLAND,HS,31
138,21+ Years,LIFE,M,ESSEX,BL,45
139,3-5 Years,5Y,M,ESSEX,BL,31
140,3-5 Years,5Y,M,OCEAN,BL,33
141,21+ Years,50Y,M,HUDSON,BL,42
142,3-5 Years,5Y,M,PASSAIC,HS,30
143,15-20 Years,20Y,M,HUDSON,BL,41
144,6-10 Years,10Y 4M 5D,M,HUDSON,BL,41
145,21+ Years,28Y,M,BERGEN,WH,52
146,21+ Years,80Y,M,OCEAN,BL,57
147,6-10 Years,8Y,M,CAPE MAY,HS,35
148,6-10 Years,10Y,M,ESSEX,BL,27
149,21+ Years,26Y 6M,M,BURLINGTON,WH,32
150,3-5 Years,4Y,M,UNION,BL,22
151,11-14 Years,11Y,F,CAPE MAY,WH,52
152,3-5 Years,5Y,M,CUMBERLAND,HS,36
153,15-20 Years,16Y 1M 24D,M,MERCER,BL,23
154,21+ Years,37Y,M,MERCER,WH,35
155,6-10 Years,7Y,M,OCEAN,WH,29
156,15-20 Years,20Y,M,CAMDEN,HS,46
157,15-20 Years,15Y,M,HUDSON,BL,41
158,6-10 Years,7Y,M,UNION,BL,23
159,3-5 Years,5Y,M,UNION,BL,44
160,11-14 Years,12Y,M,CAPE MAY,BL,30
161,3-5 Years,5Y,F,ATLANTIC,WH,19
162,11-14 Years,12Y,M,HUDSON,BL,43
163,15-20 Years,20Y,M,HUDSON,BL,40
164,3-5 Years,5Y,M,BERGEN,BL,21
165,3-5 Years,5Y,M,ATLANTIC,WH,25
166,6-10 Years,7Y,M,ESSEX,WH,32
167,3-5 Years,3Y 1M 19D,M,UNION,BL,27
168,3-5 Years,4Y 9M 19D,M,BURLINGTON,WH,40
169,3-5 Years,3Y,M,ATLANTIC,BL,42
170,3-5 Years,4Y,M,MIDDLESEX,HW,58
171,6-10 Years,10Y,M,MERCER,BL,32
172,21+ Years,40Y,M,ESSEX,BL,33
173,3-5 Years,5Y,M,ATLANTIC,WH,32
174,3-5 Years,4Y,M,BERGEN,HS,54
175,3-5 Years,4Y,M,MERCER,BL,42
176,21+ Years,60Y,M,ESSEX,BL,28
177,21+ Years,LIFE,M,CUMBERLAND,BL,56
178,6-10 Years,7Y,M,HUDSON,HS,34
179,6-10 Years,8Y,M,MERCER,BL,42
180,21+ Years,29Y,M,MERCER,BL,50
181,6-10 Years,6Y,M,MIDDLESEX,HS,30
182,6-10 Years,10Y,M,UNION,BL,25
183,21+ Years,LIFE,M,CAMDEN,BL,42
184,6-10 Years,10Y,M,MERCER,HS,35
185,6-10 Years,7Y,M,MIDDLESEX,BL,27
186,21+ Years,LIFE,M,BERGEN,BL,78
187,6-10 Years,10Y,M,UNION,HS,48
188,6-10 Years,10Y,F,MIDDLESEX,BL,43
189,21+ Years,LIFE,M,PASSAIC,BL,43
190,3-5 Years,4Y 6M 14D,M,PASSAIC,BL,40
191,11-14 Years,11Y,M,UNION,BL,43
193,3-5 Years,5Y,M,SOMERSET,BL,39
194,11-14 Years,14Y,M,MIDDLESEX,BL,35
195,21+ Years,30Y,M,BERGEN,HW,68
196,21+ Years,LIFE,M,BERGEN,BL,47
197,1-2 Years,1Y 7M 3D,M,PASSAIC,WH,45
198,21+ Years,60Y,M,MERCER,BL,31
200,21+ Years,27Y,M,BERGEN,WH,40
201,21+ Years,35Y,M,PASSAIC,BL,44
203,1-2 Years,2Y 9M 27D,M,MONMOUTH,BL,31
204,3-5 Years,5Y,M,UNION,BL,23
205,3-5 Years,3Y,M,GLOUCESTER,WH,43
206,1-2 Years,2Y 8M 21D,M,PASSAIC,BL,32
207,6-10 Years,8Y,M,MIDDLESEX,WH,22
208,21+ Years,30Y,M,BERGEN,WH,48
209,3-5 Years,4Y 8M 15D,M,PASSAIC,HS,46
210,3-5 Years,5Y,M,PASSAIC,BL,44
211,3-5 Years,3Y,M,MERCER,HS,28
212,6-10 Years,8Y,M,BURLINGTON,BL,44
213,15-20 Years,20Y,M,WARREN,WH,43
214,3-5 Years,4Y,M,ATLANTIC,BL,27
215,3-5 Years,5Y,M,ESSEX,BL,23
217,21+ Years,40Y,M,MIDDLESEX,BL,60
218,6-10 Years,10Y,M,BERGEN,HS,35
219,3-5 Years,5Y,M,PASSAIC,BL,27
220,21+ Years,80Y,M,UNION,BL,57
221,6-10 Years,8Y,M,CAMDEN,HS,75
222,21+ Years,LIFE,M,MONMOUTH,WH,80
223,21+ Years,40Y,M,HUDSON,BL,29
224,3-5 Years,5Y,M,ATLANTIC,BL,31
225,3-5 Years,5Y,M,MERCER,BL,29
226,15-20 Years,20Y,M,ATLANTIC,HS,60
227,21+ Years,22Y,M,OTHER,WH,41
228,1-2 Years,1Y 3M 15D,M,HUDSON,BL,58
229,15-20 Years,15Y,M,ESSEX,BL,29
230,3-5 Years,4Y 8M 17D,M,CAMDEN,BL,32
231,3-5 Years,4Y,M,SOMERSET,WH,30
232,6-10 Years,8Y,M,BERGEN,WH,26
233,1-2 Years,2Y 9M 10D,F,ATLANTIC,BL,27
234,3-5 Years,3Y,M,UNION,BL,20
235,15-20 Years,15Y,M,ESSEX,BL,21
236,21+ Years,25Y,M,MERCER,WH,46
237,6-10 Years,10Y,M,MIDDLESEX,BL,37
238,21+ Years,LIFE,M,ESSEX,BL,56
239,6-10 Years,10Y,M,CAMDEN,WH,27
240,6-10 Years,7Y,M,ESSEX,BL,56
241,3-5 Years,5Y,M,CAMDEN,HS,28
242,6-10 Years,10Y,M,ESSEX,BL,26
243,3-5 Years,5Y,M,CAMDEN,BL,34
244,3-5 Years,5Y,M,BERGEN,HS,40
245,21+ Years,LIFE,M,ATLANTIC,WH,63
246,6-10 Years,8Y,M,HUDSON,BL,37
247,3-5 Years,4Y,M,MERCER,BL,31
248,21+ Years,LIFE4,M,CAMDEN,HS,28
249,15-20 Years,16Y 6M 11D,M,MIDDLESEX,BL,33
252,6-10 Years,6Y 6M,M,CUMBERLAND,BL,23
253,3-5 Years,5Y,M,BERGEN,BL,23
255,6-10 Years,9Y,M,CUMBERLAND,WH,46
256,3-5 Years,4Y,M,CAMDEN,BL,33
257,21+ Years,30Y,M,MONMOUTH,BL,57
259,6-10 Years,7Y,M,CUMBERLAND,BL,26
260,21+ Years,112Y,M,BERGEN,WH,76
261,21+ Years,23Y,M,PASSAIC,HS,33
262,6-10 Years,7Y,M,PASSAIC,BL,32
263,11-14 Years,12Y,M,CAMDEN,HS,33
265,1-2 Years,2Y 7M 22D,M,HUDSON,BL,23
266,15-20 Years,20Y,M,ATLANTIC,BL,37
267,3-5 Years,3Y 6M,M,ESSEX,BL,27
268,11-14 Years,11Y,M,ESSEX,BL,24
269,6-10 Years,7Y,M,UNION,BL,22
270,1-2 Years,2Y 11M 24D,M,HUDSON,HS,24
271,6-10 Years,10Y 5M 7D,M,MONMOUTH,WH,57
272,6-10 Years,10Y,F,MIDDLESEX,WH,43
273,6-10 Years,10Y,M,PASSAIC,WH,25
274,21+ Years,45Y,M,BERGEN,WH,34
275,3-5 Years,5Y,M,HUDSON,BL,22
276,6-10 Years,8Y,M,MIDDLESEX,WH,55
278,3-5 Years,5Y,M,UNION,BL,28
279,11-14 Years,11Y,M,MIDDLESEX,HS,28
280,6-10 Years,10Y,M,CAMDEN,WH,56
281,15-20 Years,15Y,M,ESSEX,BL,27
282,15-20 Years,19Y,M,ATLANTIC,BL,32
283,3-5 Years,5Y,M,CAMDEN,BL,26
284,6-10 Years,10Y,M,ATLANTIC,HS,45
285,21+ Years,30Y,M,PASSAIC,BL,50
286,21+ Years,38Y,M,UNION,WH,30
287,6-10 Years,10Y,M,OCEAN,WH,50
288,21+ Years,LIFE,M,UNION,BL,68
289,15-20 Years,18Y,M,HUDSON,HS,39
291,21+ Years,58Y,M,BERGEN,BL,59
292,3-5 Years,5Y,M,SOMERSET,HS,24
293,3-5 Years,5Y,M,HUNTERDON,HS,35
294,3-5 Years,5Y,M,CUMBERLAND,BL,27
295,3-5 Years,5Y,M,PASSAIC,BL,56
296,11-14 Years,12Y,M,CAMDEN,BL,27
297,6-10 Years,7Y,M,CUMBERLAND,WH,34
298,6-10 Years,6Y,M,MERCER,BL,29
299,6-10 Years,10Y,M,ESSEX,BL,29
300,15-20 Years,16Y,F,MIDDLESEX,HS,61
301,21+ Years,40Y,M,CUMBERLAND,BL,34
302,11-14 Years,12Y,M,PASSAIC,BL,20
303,3-5 Years,5Y,M,CAMDEN,HS,32
304,15-20 Years,18Y,M,MORRIS,BL,35
305,21+ Years,30Y,M,MONMOUTH,BL,32
306,21+ Years,LIFE,M,HUDSON,BL,56
307,15-20 Years,16Y,M,PASSAIC,BL,56
308,21+ Years,28Y,M,ESSEX,BL,31
309,11-14 Years,12Y,M,PASSAIC,OA,60
310,15-20 Years,19Y 9M 24D,M,PASSAIC,BL,33
311,3-5 Years,5Y,M,CUMBERLAND,BL,34
312,6-10 Years,6Y,M,CUMBERLAND,BL,56
313,21+ Years,37Y,M,CAMDEN,BL,27
314,6-10 Years,10Y,M,OCEAN,OA,40
315,21+ Years,115Y,M,CAMDEN,BL,59
316,6-10 Years,8Y,M,SOMERSET,HS,28
317,21+ Years,37Y,M,BURLINGTON,WH,47
318,1-2 Years,1Y,M,ESSEX,BL,58
319,3-5 Years,4Y,M,ATLANTIC,BL,21
320,21+ Years,53Y,M,ESSEX,BL,29
321,3-5 Years,4Y,M,BERGEN,WH,26
322,11-14 Years,13Y,M,ESSEX,BL,34
323,3-5 Years,5Y,M,ESSEX,HS,26
324,3-5 Years,3Y,M,PASSAIC,BL,27
325,3-5 Years,3Y 7M 4D,M,ESSEX,BL,27
326,15-20 Years,15Y,M,CAMDEN,BL,58
328,3-5 Years,5Y,M,ESSEX,BL,32
329,6-10 Years,6Y,M,PASSAIC,BL,25
330,3-5 Years,3Y,M,OCEAN,WH,45
331,21+ Years,25Y,M,BERGEN,HS,35
332,11-14 Years,13Y,M,CAPE MAY,HS,31
334,3-5 Years,4Y 8M 10D,M,PASSAIC,BL,25
335,6-10 Years,6Y,M,MERCER,BL,29
336,3-5 Years,5Y,F,CUMBERLAND,BL,22
337,6-10 Years,7Y,M,CAMDEN,BL,26
338,3-5 Years,5Y 6M,M,CUMBERLAND,HS,21
339,3-5 Years,5Y,F,CAMDEN,WH,24
341,3-5 Years,5Y,M,CUMBERLAND,HS,34
342,21+ Years,LIFE,M,SOMERSET,HW,56
343,11-14 Years,12Y,M,OCEAN,BL,26
344,21+ Years,LIFE,M,MIDDLESEX,WH,69
345,11-14 Years,11Y,M,OCEAN,BL,27
346,15-20 Years,20Y,M,CAMDEN,BL,32
347,3-5 Years,5Y,M,MERCER,BL,25
348,6-10 Years,7Y,M,PASSAIC,HS,35
349,3-5 Years,5Y,M,ATLANTIC,BL,25
351,21+ Years,68Y 2M 28D,M,BERGEN,WH,58
352,6-10 Years,8Y,M,CAMDEN,WH,32
353,3-5 Years,5Y,F,MIDDLESEX,WH,32
354,6-10 Years,8Y,M,HUNTERDON,WH,40
355,21+ Years,LIFE,M,ESSEX,BL,56
356,3-5 Years,4Y 6M,M,MIDDLESEX,WH,50
357,6-10 Years,10Y,M,PASSAIC,BL,28
358,6-10 Years,7Y,M,ESSEX,BL,32
359,15-20 Years,17Y,M,CAPE MAY,BL,43
360,3-5 Years,5Y,M,PASSAIC,HS,23
361,1-2 Years,1Y 9M 1D,M,HUDSON,BL,32
362,3-5 Years,3Y,M,ESSEX,BL,24
363,3-5 Years,4Y,M,ESSEX,BL,23
364,6-10 Years,7Y,M,ESSEX,BL,22
366,3-5 Years,4Y,M,ESSEX,BL,23
367,3-5 Years,4Y,M,ESSEX,BL,22
368,3-5 Years,5Y,M,HUDSON,BL,27
369,1-2 Years,1Y 7M 12D,M,PASSAIC,HS,33
370,15-20 Years,17Y,M,MONMOUTH,BL,30
371,6-10 Years,8Y,M,UNION,WH,34
372,3-5 Years,5Y,M,MERCER,BL,21
373,15-20 Years,20Y,M,ESSEX,BL,36
374,11-14 Years,12Y,M,ATLANTIC,BL,26
375,6-10 Years,8Y,M,UNION,BL,35
376,6-10 Years,7Y,M,MERCER,BL,33
377,15-20 Years,17Y,M,ESSEX,BL,30
378,3-5 Years,5Y,M,OCEAN,WH,34
379,15-20 Years,20Y,M,MERCER,BL,31
380,21+ Years,LIFE,M,PASSAIC,HS,46
381,6-10 Years,10Y,M,ESSEX,BL,36
382,6-10 Years,8Y,M,CUMBERLAND,WH,62
383,21+ Years,55Y,M,ESSEX,HS,36
384,6-10 Years,10Y,M,HUDSON,BL,33
385,21+ Years,LIFE,M,OCEAN,WH,68
386,6-10 Years,10Y,M,MERCER,BL,31
387,15-20 Years,20Y,M,CAMDEN,WH,27
389,21+ Years,79Y,M,UNION,HS,65
390,3-5 Years,4Y,M,PASSAIC,BL,27
391,3-5 Years,4Y,M,ESSEX,BL,28
392,3-5 Years,5Y,M,MERCER,BL,29
393,1-2 Years,2Y 3M 8D,M,ESSEX,BL,33
394,6-10 Years,7Y,M,UNION,BL,26
395,15-20 Years,17Y,M,PASSAIC,BL,26
396,6-10 Years,8Y 6M,M,CAMDEN,BL,28
397,3-5 Years,4Y,M,CUMBERLAND,HS,35
398,3-5 Years,5Y,M,SALEM,BL,27
399,15-20 Years,15Y,M,SALEM,BL,29
400,3-5 Years,3Y,M,ESSEX,HS,24
401,11-14 Years,12Y,M,CAMDEN,BL,25
402,21+ Years,50Y,M,ESSEX,BL,57
403,15-20 Years,20Y,M,CAMDEN,WH,56
404,3-5 Years,5Y,M,CAMDEN,BL,32
405,3-5 Years,5Y,M,CUMBERLAND,BL,27
406,6-10 Years,10Y,M,HUDSON,HS,46
407,3-5 Years,3Y,M,SALEM,WH,27
408,21+ Years,LIFE4,M,MIDDLESEX,WH,56
409,3-5 Years,5Y,M,GLOUCESTER,BL,26
410,3-5 Years,5Y,M,CUMBERLAND,BL,27
411,6-10 Years,7Y,M,MONMOUTH,BL,31
412,6-10 Years,8Y,M,HUDSON,HS,61
413,3-5 Years,5Y,M,GLOUCESTER,BL,26
414,6-10 Years,7Y,M,UNION,BL,25
415,3-5 Years,3Y,M,ESSEX,BL,55
416,6-10 Years,10Y,M,UNION,BL,35
417,6-10 Years,10Y,M,GLOUCESTER,WH,65
418,3-5 Years,3Y 6M 24D,M,ESSEX,BL,34
419,21+ Years,26Y,M,BERGEN,HS,30
420,6-10 Years,10Y,M,BURLINGTON,BL,24
421,3-5 Years,3Y,M,PASSAIC,HS,28
422,3-5 Years,3Y 9M,M,PASSAIC,BL,31
423,21+ Years,LIFE,M,ESSEX,BL,56
424,3-5 Years,4Y,M,SOMERSET,WH,30
425,6-10 Years,7Y,M,ESSEX,HS,37
426,6-10 Years,7Y,M,ESSEX,BL,35
427,3-5 Years,5Y,F,CUMBERLAND,HS,26
428,15-20 Years,20Y,M,HUDSON,WH,56
430,6-10 Years,7Y 6M,M,PASSAIC,HS,45
431,21+ Years,LIFE,M,UNION,BL,42
432,21+ Years,26Y 6M,M,ATLANTIC,WH,72
433,6-10 Years,10Y,M,ESSEX,BL,32
434,15-20 Years,15Y,M,BERGEN,WH,39
435,15-20 Years,20Y,M,ESSEX,HS,61
436,3-5 Years,3Y,M,ESSEX,HS,34
437,11-14 Years,11Y,M,ESSEX,BL,55
438,21+ Years,LIFE,M,PASSAIC,BL,56
439,11-14 Years,14Y,M,ATLANTIC,BL,28
441,3-5 Years,5Y,M,MERCER,BL,29
443,3-5 Years,5Y,M,CAMDEN,HS,39
446,6-10 Years,7Y,M,MIDDLESEX,HS,35
447,6-10 Years,10Y,M,ATLANTIC,BL,34
448,6-10 Years,6Y,M,MIDDLESEX,BL,27
449,6-10 Years,7Y,M,UNION,HS,46
450,6-10 Years,6Y,M,ATLANTIC,BL,55
451,3-5 Years,5Y,M,GLOUCESTER,BL,29
452,15-20 Years,20Y,F,CAMDEN,BL,31
453,6-10 Years,8Y,M,UNION,BL,24
454,21+ Years,LIFE,M,ESSEX,BL,56
455,3-5 Years,5Y,M,CAMDEN,WH,30
456,21+ Years,LIFE,M,BURLINGTON,WH,56
457,3-5 Years,4Y,M,MONMOUTH,WH,27
458,3-5 Years,4Y,M,MONMOUTH,HS,61
459,15-20 Years,20Y,M,CAMDEN,BL,34
460,11-14 Years,11Y,M,ATLANTIC,BL,26
461,6-10 Years,10Y,M,MIDDLESEX,BL,28
462,6-10 Years,8Y,M,MIDDLESEX,HS,28
463,6-10 Years,8Y,M,MIDDLESEX,HS,37
464,3-5 Years,5Y,M,SOMERSET,BL,27
465,15-20 Years,18Y,M,CAMDEN,BL,32
466,21+ Years,LIFE,M,ESSEX,BL,42
467,21+ Years,LIFE,M,MERCER,BL,70
468,6-10 Years,6Y,M,MONMOUTH,BL,32
469,3-5 Years,5Y,M,CAMDEN,WH,35
471,3-5 Years,4Y 10M 1D,M,ATLANTIC,BL,28
472,1-2 Years,1Y 9M 5D,M,HUDSON,HS,44
473,11-14 Years,13Y,M,CUMBERLAND,BL,27
474,3-5 Years,4Y,M,HUDSON,BL,43
475,6-10 Years,8Y,M,CUMBERLAND,BL,26
476,15-20 Years,15Y,M,MIDDLESEX,WH,30
477,21+ Years,LIFE,M,HUDSON,BL,69
478,6-10 Years,7Y,M,BERGEN,HS,37
479,6-10 Years,8Y 5D,M,MIDDLESEX,BL,26
480,21+ Years,LIFE,F,PASSAIC,BL,70
481,6-10 Years,7Y,M,MIDDLESEX,HS,24
482,21+ Years,LIFE,M,HUDSON,HW,47
483,21+ Years,LIFE,M,CAMDEN,HS,41
484,6-10 Years,6Y,M,CAPE MAY,HS,23
485,21+ Years,30Y,M,ESSEX,BL,44
486,21+ Years,70Y,M,UNION,BL,45
487,3-5 Years,5Y 8M 11D,M,CAMDEN,BL,22
488,6-10 Years,8Y,M,MERCER,BL,52
489,21+ Years,68Y,M,CAMDEN,BL,41
490,21+ Years,59Y,M,CAMDEN,BL,46
491,11-14 Years,12Y,M,CAMDEN,BL,33
492,6-10 Years,8Y,M,CAMDEN,HS,57
493,3-5 Years,5Y,M,CAMDEN,BL,41
494,6-10 Years,10Y,M,ESSEX,BL,70
495,15-20 Years,18Y,M,PASSAIC,BL,37
496,11-14 Years,12Y,M,SUSSEX,WH,45
497,6-10 Years,6Y,M,PASSAIC,HS,44
498,15-20 Years,15Y,M,HUDSON,HS,55
499,3-5 Years,4Y,M,ESSEX,BL,31
500,3-5 Years,5Y,M,UNION,HS,26
501,21+ Years,40Y,M,ESSEX,BL,55
502,6-10 Years,10Y,M,BERGEN,BL,44
503,21+ Years,60Y,M,ESSEX,BL,56
504,21+ Years,61Y,M,MIDDLESEX,BL,60
505,6-10 Years,9Y,M,UNION,BL,45
506,21+ Years,LIFE,M,HUNTERDON,WH,57
507,15-20 Years,20Y,M,SALEM,BL,34
508,3-5 Years,3Y,M,CAMDEN,HS,45
509,11-14 Years,11Y,M,BERGEN,BL,49
510,3-5 Years,4Y,M,CAMDEN,BL,25
511,3-5 Years,3Y 2M 8D,M,GLOUCESTER,BL,30
512,6-10 Years,8Y,M,UNION,BL,28
513,3-5 Years,5Y,M,CAMDEN,BL,28
514,21+ Years,LIFE,M,OCEAN,WH,45
515,6-10 Years,10Y,M,BERGEN,BL,32
516,6-10 Years,7Y,M,BERGEN,BL,55
517,21+ Years,50Y,M,UNION,BL,43
518,3-5 Years,4Y 3M 9D,M,BURLINGTON,BL,28
519,3-5 Years,5Y,M,MONMOUTH,BL,25
520,6-10 Years,10Y,M,MONMOUTH,BL,26
521,21+ Years,23Y,M,CAMDEN,BL,32
522,6-10 Years,6Y,M,CUMBERLAND,BL,27
523,1-2 Years,2Y 6M 2D,M,PASSAIC,BL,45
524,3-5 Years,5Y,M,ESSEX,BL,34
525,3-5 Years,4Y,M,BURLINGTON,BL,43
526,21+ Years,LIFE,M,CAMDEN,BL,41
527,21+ Years,35Y,M,UNION,BL,33
528,21+ Years,LIFE,M,MERCER,WH,56
529,15-20 Years,15Y,M,PASSAIC,HS,33
530,6-10 Years,10Y,M,ESSEX,BL,26
531,21+ Years,LIFE,M,CAMDEN,HS,46
532,21+ Years,LIFE,M,HUDSON,OA,76
533,3-5 Years,4Y 9D,M,ESSEX,BL,42
534,6-10 Years,10Y,M,ESSEX,WH,63
535,3-5 Years,5Y,M,MERCER,BL,24
536,3-5 Years,4Y,M,MERCER,WH,43
537,6-10 Years,10Y,M,MIDDLESEX,HS,48
538,6-10 Years,8Y,M,CUMBERLAND,BL,67
539,3-5 Years,5Y,M,CUMBERLAND,HS,25
540,21+ Years,30Y,M,MIDDLESEX,BL,34
541,21+ Years,29Y,M,PASSAIC,BL,69
542,3-5 Years,5Y,M,MERCER,WH,25
543,21+ Years,40Y,M,UNION,BL,51
544,3-5 Years,5Y,M,ATLANTIC,WH,35
545,3-5 Years,4Y,M,HUDSON,BL,27
546,21+ Years,60Y,M,CAMDEN,BL,44
547,15-20 Years,18Y,M,ESSEX,BL,28
548,6-10 Years,10Y,M,ESSEX,BL,57
