ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
4341,3-5 Years,5Y,M,BURLINGTON,BL,23
4342,3-5 Years,3Y 5M 21D,M,CAMDEN,HS,39
4343,21+ Years,LIFE,M,MERCER,BL,54
4344,6-10 Years,7Y,M,PASSAIC,HS,39
4345,3-5 Years,5Y,M,CAMDEN,HS,36
4346,6-10 Years,8Y,M,ESSEX,BL,38
4347,15-20 Years,19Y,M,OCEAN,HS,53
4348,6-10 Years,6Y 6M 21D,M,CAPE MAY,WH,31
4349,6-10 Years,6Y,M,MIDDLESEX,BL,32
4350,1-2 Years,2Y 1M 18D,M,SUSSEX,WH,31
4351,15-20 Years,15Y,M,OCEAN,WH,44
4352,3-5 Years,4Y,M,ESSEX,BL,23
4353,6-10 Years,8Y,M,PASSAIC,BL,40
4354,6-10 Years,10Y,M,CAMDEN,HS,36
4355,3-5 Years,4Y 9M 10D,M,ESSEX,BL,30
4356,3-5 Years,3Y,M,SUSSEX,WH,37
4357,11-14 Years,13Y,M,BURLINGTON,BL,36
4358,21+ Years,21Y,M,UNION,BL,58
4359,3-5 Years,5Y,M,CAMDEN,WH,33
4360,21+ Years,49Y,M,OCEAN,BL,52
4361,21+ Years,30Y,M,PASSAIC,BL,32
4362,15-20 Years,20Y,M,UNION,BL,31
4363,6-10 Years,8Y,M,PASSAIC,BL,29
4364,1-2 Years,1Y 2M 15D,M,MIDDLESEX,WH,29
4365,21+ Years,45Y,M,UNION,BL,40
4366,3-5 Years,5Y,M,OCEAN,BL,30
4367,21+ Years,LIFE,M,ESSEX,BL,52
4368,15-20 Years,16Y 7M 16D,M,ESSEX,BL,26
4369,6-10 Years,10Y,M,BERGEN,WH,35
4370,6-10 Years,10Y,M,HUDSON,BL,22
4371,3-5 Years,3Y,M,UNION,BL,52
4372,3-5 Years,5Y,M,PASSAIC,BL,30
4373,1-2 Years,1Y 5M 8D,M,BERGEN,BL,27
4374,21+ Years,LIFE,M,MIDDLESEX,WH,67
4376,21+ Years,32Y,M,UNION,WH,40
4377,15-20 Years,15Y 5M 4D,M,CUMBERLAND,WH,30
4378,6-10 Years,7Y,M,PASSAIC,HS,39
4379,21+ Years,30Y,M,HUDSON,BL,51
4380,6-10 Years,6Y,M,CAMDEN,HS,35
4381,21+ Years,24Y,M,ESSEX,HS,36
